,Generations,Solution_Count
0,0.0,0
1,222.0,1
2,263.0,2
3,312.0,3
4,316.0,4
5,379.0,5
6,388.0,6
7,449.0,7
8,478.0,8
9,525.0,9
10,564.0,10
11,571.0,11
12,595.0,12
13,621.0,13
14,636.0,14
15,640.0,15
16,655.0,16
17,657.0,17
18,696.0,18
19,699.0,19
20,702.0,20
21,743.0,21
22,764.0,22
23,769.0,23
24,777.0,24
25,783.0,25
26,791.0,26
27,818.0,27
28,828.0,28
29,837.0,29
30,860.0,30
31,885.0,31
32,895.0,32
33,908.0,33
34,938.0,34
35,949.0,35
36,950.0,36
37,957.0,37
38,976.0,38
39,980.0,39
40,986.0,40
41,990.0,41
42,1000.0,41
