,Generations,Solution_Count
0,0.0,0
1,167.0,1
2,223.0,2
3,236.0,3
4,240.0,4
5,269.0,5
6,275.0,6
7,293.0,7
8,300.0,8
9,311.0,9
10,316.0,10
11,327.0,11
12,340.0,12
13,358.0,13
14,363.0,14
15,369.0,15
16,371.0,16
17,383.0,17
18,386.0,18
19,397.0,19
20,463.0,20
21,512.0,21
22,553.0,22
23,565.0,23
24,608.0,24
25,640.0,25
26,646.0,26
27,662.0,27
28,670.0,28
29,670.0,29
30,712.0,30
31,775.0,31
32,782.0,32
33,796.0,33
34,851.0,34
35,869.0,35
36,895.0,36
37,897.0,37
38,898.0,38
39,940.0,39
40,946.0,40
41,948.0,41
42,950.0,42
43,959.0,43
44,982.0,44
45,1000.0,44
