,Generations,Solution_Count
0,0.0,0
1,612.0,1
2,690.0,2
3,721.0,3
4,741.0,4
5,788.0,5
6,810.0,6
7,869.0,7
8,887.0,8
9,904.0,9
10,919.0,10
11,987.0,11
12,991.0,12
13,1000.0,13
14,1000.0,13
