,Generations,Solution_Count
0,0.0,0
1,178.0,1
2,209.0,2
3,255.0,3
4,278.0,4
5,349.0,5
6,357.0,6
7,393.0,7
8,404.0,8
9,447.0,9
10,462.0,10
11,536.0,11
12,607.0,12
13,622.0,13
14,625.0,14
15,643.0,15
16,643.0,16
17,709.0,17
18,714.0,18
19,748.0,19
20,750.0,20
21,771.0,21
22,790.0,22
23,793.0,23
24,812.0,24
25,839.0,25
26,851.0,26
27,866.0,27
28,868.0,28
29,881.0,29
30,898.0,30
31,917.0,31
32,922.0,32
33,926.0,33
34,942.0,34
35,972.0,35
36,975.0,36
37,976.0,37
38,979.0,38
39,994.0,39
40,997.0,40
41,1000.0,40
