,Generations,Solution_Count
0,0.0,0
1,465.0,1
2,582.0,2
3,589.0,3
4,664.0,4
5,733.0,5
6,815.0,6
7,842.0,7
8,862.0,8
9,863.0,9
10,896.0,10
11,949.0,11
12,993.0,12
13,993.0,13
14,996.0,14
15,1000.0,14
