,Generations,Solution_Count
0,0.0,0
1,78.0,1
2,120.0,2
3,175.0,3
4,363.0,4
5,516.0,5
6,545.0,6
7,667.0,7
8,671.0,8
9,676.0,9
10,759.0,10
11,769.0,11
12,779.0,12
13,794.0,13
14,834.0,14
15,924.0,15
16,1000.0,15
