,Generations,Solution_Count
0,0.0,0
1,328.0,1
2,329.0,2
3,443.0,3
4,453.0,4
5,474.0,5
6,478.0,6
7,516.0,7
8,521.0,8
9,526.0,9
10,544.0,10
11,560.0,11
12,565.0,12
13,591.0,13
14,624.0,14
15,629.0,15
16,634.0,16
17,658.0,17
18,675.0,18
19,690.0,19
20,699.0,20
21,749.0,21
22,752.0,22
23,761.0,23
24,829.0,24
25,834.0,25
26,838.0,26
27,840.0,27
28,852.0,28
29,854.0,29
30,886.0,30
31,901.0,31
32,923.0,32
33,946.0,33
34,947.0,34
35,949.0,35
36,956.0,36
37,963.0,37
38,968.0,38
39,978.0,39
40,995.0,40
41,995.0,41
42,1000.0,42
43,1000.0,42
