,Evaluation,Solution_Count
0,0.0,0
1,4177920.0,1
2,7536640.0,2
3,9027580.0,3
4,9306110.0,4
5,10321900.0,5
6,10928100.0,6
7,11018200.0,7
8,11223000.0,8
9,12795900.0,9
10,12967900.0,10
11,14983200.0,11
12,17915900.0,12
13,18022400.0,13
14,18595800.0,14
15,21602300.0,15
16,31948800.0,16
17,37232600.0,17
18,37462000.0,18
19,38740000.0,19
20,44089300.0,20
21,46932000.0,21
22,55803900.0,22
23,73859100.0,23
24,80953300.0,24
25,82739200.0,25
26,100844000.0,26
27,107954000.0,27
28,174793000.0,28
29,174940000.0,29
30,193118000.0,30
31,202555000.0,31
32,225231000.0,32
33,230547000.0,33
34,255853000.0,34
35,262144000.0,34
