,Evaluation,Solution_Count
0,0.0,0
1,54526000.0,1
2,74186800.0,2
3,81788900.0,3
4,96993300.0,4
5,114033000.0,5
6,116130000.0,6
7,127664000.0,7
8,133693000.0,8
9,137363000.0,9
10,153879000.0,10
11,163316000.0,11
12,173277000.0,12
13,176947000.0,13
14,186909000.0,14
15,194249000.0,15
16,198443000.0,16
17,201327000.0,17
18,201327000.0,18
19,201589000.0,19
20,202113000.0,20
21,202637000.0,21
22,205259000.0,22
23,206569000.0,23
24,207094000.0,24
25,211550000.0,25
26,212074000.0,26
27,213647000.0,27
28,222560000.0,28
29,223609000.0,29
30,229900000.0,30
31,230687000.0,31
32,250872000.0,32
33,251658000.0,33
34,257425000.0,34
35,262144000.0,34
