,Evaluation,Solution_Count
0,0.0,0
1,44040200.0,1
2,44564500.0,2
3,77856800.0,3
4,83886100.0,4
5,85721100.0,5
6,88866800.0,6
7,102760000.0,7
8,104071000.0,8
9,124781000.0,9
10,126616000.0,10
11,151257000.0,11
12,161219000.0,12
13,161743000.0,13
14,176685000.0,14
15,182452000.0,15
16,182977000.0,16
17,187171000.0,17
18,190054000.0,18
19,190054000.0,19
20,196346000.0,20
21,198181000.0,21
22,204210000.0,22
23,226755000.0,23
24,231473000.0,24
25,234881000.0,25
26,244318000.0,26
27,245891000.0,27
28,247202000.0,28
29,249037000.0,29
30,249299000.0,30
31,251134000.0,31
32,254542000.0,32
33,256377000.0,33
34,262144000.0,34
35,262144000.0,34
