,Evaluation,Solution_Count
0,0.0,0
1,1331200.0,1
2,1773570.0,2
3,1835010.0,3
4,2101250.0,4
5,2154500.0,5
6,2258940.0,6
7,2322430.0,7
8,2324480.0,8
9,2922500.0,9
10,3026940.0,10
11,5036030.0,11
12,5253120.0,12
13,5711870.0,13
14,7430140.0,14
15,7448580.0,15
16,9076740.0,16
17,9111550.0,17
18,9263100.0,18
19,9793540.0,19
20,10213400.0,20
21,15544300.0,21
22,16101400.0,22
23,18133000.0,23
24,20844500.0,24
25,22192100.0,25
26,24752100.0,26
27,25794600.0,27
28,32634900.0,28
29,40726500.0,29
30,43225100.0,30
31,47380500.0,31
32,80660500.0,32
33,118516000.0,33
34,139549000.0,34
35,154884000.0,35
36,172386000.0,36
37,202594000.0,37
38,218452000.0,38
39,220652000.0,39
40,223463000.0,40
41,234179000.0,41
42,250102000.0,42
43,262144000.0,42
