,Evaluation,Solution_Count
0,0.0,0
1,637952.0,1
2,975872.0,2
3,1128450.0,3
4,2757630.0,4
5,2974720.0,5
6,3411970.0,6
7,5482500.0,7
8,5608450.0,8
9,6163460.0,9
10,8326140.0,10
11,8645630.0,11
12,9244670.0,12
13,9530370.0,13
14,9856000.0,14
15,10047500.0,15
16,10260500.0,16
17,10864600.0,17
18,11622400.0,18
19,11623400.0,19
20,11632600.0,20
21,13117400.0,21
22,14066700.0,22
23,14660600.0,23
24,14989300.0,24
25,15067100.0,25
26,21758000.0,26
27,22395900.0,27
28,22520800.0,28
29,22741000.0,29
30,30919700.0,30
31,42841100.0,31
32,43450400.0,32
33,52261900.0,33
34,54513700.0,34
35,58446800.0,35
36,76760100.0,36
37,91740200.0,37
38,142282000.0,38
39,224618000.0,39
40,262144000.0,39
