,Evaluation,Solution_Count
0,0.0,0
1,75497500.0,1
2,77070300.0,2
3,103023000.0,3
4,109314000.0,4
5,114819000.0,5
6,133693000.0,6
7,148636000.0,7
8,149946000.0,8
9,154141000.0,9
10,154927000.0,10
11,177471000.0,11
12,179831000.0,12
13,182452000.0,13
14,191365000.0,14
15,192676000.0,15
16,200540000.0,16
17,204997000.0,17
18,208929000.0,18
19,209191000.0,19
20,212861000.0,20
21,214172000.0,21
22,219152000.0,22
23,231997000.0,23
24,240124000.0,24
25,247464000.0,25
26,252445000.0,26
27,252707000.0,27
28,254280000.0,28
29,261358000.0,29
30,261882000.0,30
31,262144000.0,30
