,Evaluation,Solution_Count
0,0.0,0
1,1173500.0,1
2,2455550.0,2
3,4229120.0,3
4,5765120.0,4
5,7395330.0,5
6,9543680.0,6
7,10405900.0,7
8,25563100.0,8
9,27699200.0,9
10,30654500.0,10
11,35182600.0,11
12,37630000.0,12
13,38357000.0,13
14,41228300.0,14
15,45344800.0,15
16,47388700.0,16
17,48564200.0,17
18,60311600.0,18
19,63297500.0,19
20,66471900.0,20
21,68894700.0,21
22,68925400.0,22
23,79769600.0,23
24,80461800.0,24
25,84035600.0,25
26,86657000.0,26
27,88897500.0,27
28,104643000.0,28
29,111264000.0,29
30,114315000.0,30
31,121778000.0,31
32,140919000.0,32
33,144044000.0,33
34,149799000.0,34
35,164307000.0,35
36,176579000.0,36
37,191488000.0,37
38,193778000.0,38
39,194986000.0,39
40,195592000.0,40
41,212365000.0,41
42,224971000.0,42
43,229114000.0,43
44,239749000.0,44
45,240069000.0,45
46,256326000.0,46
47,262144000.0,46
