,Evaluation,Solution_Count
0,0.0,0
1,1490940.0,1
2,1613820.0,2
3,4669440.0,3
4,4677630.0,4
5,6815740.0,5
6,6946820.0,6
7,7102460.0,7
8,11157500.0,8
9,11698200.0,9
10,11730900.0,10
11,12533800.0,11
12,13238300.0,12
13,17489900.0,13
14,17514500.0,14
15,20742100.0,15
16,20930600.0,16
17,23601200.0,17
18,27090900.0,18
19,27148300.0,19
20,27320300.0,20
21,29655000.0,21
22,40468500.0,22
23,43663400.0,23
24,46006300.0,24
25,62996500.0,25
26,63610900.0,26
27,63782900.0,27
28,73875500.0,28
29,81010700.0,29
30,82313200.0,30
31,90832900.0,31
32,94560300.0,32
33,94961700.0,33
34,98943000.0,34
35,108675000.0,35
36,121864000.0,36
37,123306000.0,37
38,132219000.0,38
39,150209000.0,39
40,164479000.0,40
41,170402000.0,41
42,176955000.0,42
43,201654000.0,43
44,210608000.0,44
45,220201000.0,45
46,238150000.0,46
47,240337000.0,47
48,250159000.0,48
49,261702000.0,49
50,262144000.0,49
