,Evaluation,Solution_Count
0,0.0,0
1,54263800.0,1
2,57933800.0,2
3,72613900.0,3
4,83623900.0,4
5,105644000.0,5
6,106430000.0,6
7,121635000.0,7
8,125567000.0,8
9,136053000.0,9
10,136577000.0,10
11,137626000.0,11
12,142344000.0,12
13,144703000.0,13
14,146014000.0,14
15,148111000.0,15
16,153354000.0,16
17,157286000.0,17
18,158073000.0,18
19,158335000.0,19
20,161219000.0,20
21,166199000.0,21
22,166986000.0,22
23,167772000.0,23
24,180355000.0,24
25,191627000.0,25
26,203162000.0,26
27,205259000.0,27
28,207356000.0,28
29,213385000.0,29
30,214434000.0,30
31,218366000.0,31
32,222560000.0,32
33,229114000.0,33
34,230162000.0,34
35,234619000.0,35
36,236454000.0,36
37,250872000.0,37
38,252183000.0,38
39,257163000.0,39
40,262144000.0,39
