,Evaluation,Solution_Count
0,0.0,0
1,56623100.0,1
2,61079600.0,2
3,82837500.0,3
4,83099600.0,4
5,102236000.0,5
6,103285000.0,6
7,111411000.0,7
8,111935000.0,8
9,118489000.0,9
10,136315000.0,10
11,144966000.0,11
12,155714000.0,12
13,165151000.0,13
14,173539000.0,14
15,174850000.0,15
16,176423000.0,16
17,181666000.0,17
18,187433000.0,18
19,188219000.0,19
20,189792000.0,20
21,190841000.0,21
22,191627000.0,22
23,196870000.0,23
24,201327000.0,24
25,202113000.0,25
26,204997000.0,26
27,208142000.0,27
28,210502000.0,28
29,214434000.0,29
30,218890000.0,30
31,227017000.0,31
32,228327000.0,32
33,229376000.0,33
34,230687000.0,34
35,234881000.0,35
36,241435000.0,36
37,250085000.0,37
38,250085000.0,38
39,250872000.0,39
40,251920000.0,40
41,254280000.0,41
42,256115000.0,42
43,260047000.0,43
44,261882000.0,44
45,262144000.0,44
