,Evaluation,Solution_Count
0,0.0,0
1,90964000.0,1
2,98828300.0,2
3,101974000.0,3
4,110100000.0,4
5,110100000.0,5
6,113508000.0,6
7,116130000.0,7
8,120586000.0,8
9,122421000.0,9
10,128451000.0,10
11,131072000.0,11
12,148111000.0,12
13,149422000.0,13
14,150209000.0,14
15,157811000.0,15
16,164364000.0,16
17,174326000.0,17
18,188744000.0,18
19,192938000.0,19
20,203162000.0,20
21,208929000.0,21
22,211026000.0,22
23,212861000.0,23
24,214696000.0,24
25,214958000.0,25
26,215482000.0,26
27,230949000.0,27
28,234095000.0,28
29,235667000.0,29
30,239600000.0,30
31,240648000.0,31
32,244056000.0,32
33,244318000.0,33
34,252183000.0,34
35,253493000.0,35
36,255853000.0,36
37,257950000.0,37
38,261095000.0,38
39,262144000.0,38
