,Evaluation,Solution_Count
0,0.0,0
1,21233700.0,1
2,37486600.0,2
3,56623100.0,3
4,64749600.0,4
5,86507500.0,5
6,91488300.0,6
7,98566100.0,7
8,98828300.0,8
9,101450000.0,9
10,112198000.0,10
11,114819000.0,11
12,119538000.0,12
13,123470000.0,13
14,132907000.0,14
15,145228000.0,15
16,149422000.0,16
17,154665000.0,17
18,162529000.0,18
19,178520000.0,19
20,179044000.0,20
21,181928000.0,21
22,195297000.0,22
23,196608000.0,23
24,202637000.0,24
25,208142000.0,25
26,209453000.0,26
27,216007000.0,27
28,216269000.0,28
29,217317000.0,29
30,219152000.0,30
31,221250000.0,31
32,229376000.0,32
33,232784000.0,33
34,237502000.0,34
35,238813000.0,35
36,250610000.0,36
37,260047000.0,37
38,260309000.0,38
39,262144000.0,38
