,Evaluation,Solution_Count
0,0.0,0
1,1998850.0,1
2,6356990.0,2
3,8781820.0,3
4,9699330.0,4
5,10207200.0,5
6,10829800.0,6
7,13926400.0,7
8,16744400.0,8
9,30064600.0,9
10,30933000.0,10
11,32964600.0,11
12,37650400.0,12
13,39075800.0,13
14,40550400.0,14
15,43810800.0,15
16,49791000.0,16
17,54968300.0,17
18,63193100.0,18
19,64143400.0,19
20,68272100.0,20
21,72040400.0,21
22,76890100.0,22
23,82165800.0,23
24,84197400.0,24
25,89489400.0,25
26,102597000.0,26
27,108282000.0,27
28,118587000.0,28
29,126271000.0,29
30,133595000.0,30
31,138396000.0,31
32,170623000.0,32
33,224051000.0,33
34,247955000.0,34
35,252232000.0,35
36,262144000.0,35
