,Evaluation,Solution_Count
0,0.0,0
1,29098000.0,1
2,30015500.0,2
3,35258400.0,3
4,35651600.0,4
5,42074100.0,5
6,49414100.0,6
7,52559900.0,7
8,57671700.0,8
9,63307800.0,9
10,63569900.0,10
11,72876000.0,11
12,87687200.0,12
13,107348000.0,13
14,111542000.0,14
15,116392000.0,15
16,117834000.0,16
17,118751000.0,17
18,124256000.0,18
19,131465000.0,19
20,131596000.0,20
21,142737000.0,21
22,149160000.0,22
23,153879000.0,23
24,166068000.0,24
25,170525000.0,25
26,174719000.0,26
27,175243000.0,27
28,179569000.0,28
29,183894000.0,29
30,187564000.0,30
31,191758000.0,31
32,203031000.0,32
33,210371000.0,33
34,223347000.0,34
35,225182000.0,35
36,232260000.0,36
37,237109000.0,37
38,237896000.0,38
39,238682000.0,39
40,239206000.0,40
41,239993000.0,41
42,247464000.0,42
43,247726000.0,43
44,248775000.0,44
45,249823000.0,45
46,262144000.0,45
