,Evaluation,Solution_Count
0,0.0,0
1,5013500.0,1
2,6721540.0,2
3,9412610.0,3
4,18210800.0,4
5,24600600.0,5
6,26165200.0,6
7,27734000.0,7
8,34234400.0,8
9,36016100.0,9
10,37081100.0,10
11,38510600.0,11
12,39751700.0,12
13,40439800.0,13
14,46145500.0,14
15,48267300.0,15
16,48873500.0,16
17,57122800.0,17
18,62591000.0,18
19,69914600.0,19
20,84410400.0,20
21,88961000.0,21
22,119181000.0,22
23,136434000.0,23
24,142553000.0,24
25,154771000.0,25
26,157401000.0,26
27,204177000.0,27
28,211943000.0,28
29,219083000.0,29
30,232452000.0,30
31,234058000.0,31
32,261751000.0,32
33,262144000.0,32
