,Evaluation,Solution_Count
0,0.0,0
1,5472260.0,1
2,6791170.0,2
3,8921090.0,3
4,12910600.0,4
5,15368200.0,5
6,15671300.0,6
7,16007200.0,7
8,21397500.0,8
9,25837600.0,9
10,27557900.0,10
11,37216300.0,11
12,39673900.0,12
13,42033200.0,13
14,51216400.0,14
15,64782300.0,15
16,70033400.0,16
17,70074400.0,17
18,71524400.0,18
19,73572400.0,19
20,76316700.0,20
21,79429600.0,21
22,88956900.0,22
23,116171000.0,23
24,131645000.0,24
25,140960000.0,25
26,153625000.0,26
27,171958000.0,27
28,175841000.0,28
29,176849000.0,29
30,191021000.0,30
31,191742000.0,31
32,198443000.0,32
33,201531000.0,33
34,206840000.0,34
35,217211000.0,35
36,219447000.0,36
37,235127000.0,37
38,251101000.0,38
39,255762000.0,39
40,256131000.0,40
41,258589000.0,41
42,259047000.0,42
43,259260000.0,43
44,262144000.0,43
