,Evaluation,Solution_Count
0,0.0,0
1,8716290.0,1
2,14778400.0,2
3,14778400.0,3
4,16056300.0,4
5,18907100.0,5
6,22315000.0,6
7,26116100.0,7
8,29294600.0,8
9,33095700.0,9
10,36110300.0,10
11,40861700.0,11
12,48922600.0,12
13,58523600.0,13
14,65110000.0,14
15,72122400.0,15
16,72286200.0,16
17,84181000.0,17
18,100270000.0,18
19,107479000.0,19
20,109674000.0,20
21,121045000.0,21
22,125305000.0,22
23,128647000.0,23
24,133005000.0,24
25,134054000.0,25
26,152404000.0,26
27,155484000.0,27
28,158630000.0,28
29,159482000.0,29
30,160563000.0,30
31,160760000.0,31
32,165380000.0,32
33,180879000.0,33
34,192348000.0,34
35,193004000.0,35
36,196215000.0,36
37,204702000.0,37
38,205849000.0,38
39,207356000.0,39
40,218202000.0,40
41,222069000.0,41
42,231113000.0,42
43,238715000.0,43
44,239927000.0,44
45,254706000.0,45
46,262144000.0,45
