,Evaluation,Solution_Count
0,0.0,0
1,10420200.0,1
2,13107200.0,2
3,14057500.0,3
4,14417900.0,4
5,21004300.0,5
6,32014300.0,6
7,41746400.0,7
8,42893300.0,8
9,49020900.0,9
10,56623100.0,10
11,58785800.0,11
12,61571100.0,12
13,62292000.0,13
14,65142800.0,14
15,65241100.0,15
16,67076100.0,16
17,68943900.0,17
18,69009400.0,18
19,71893000.0,19
20,72286200.0,20
21,73695200.0,21
22,75399200.0,22
23,84443100.0,23
24,87228400.0,24
25,94142500.0,25
26,124355000.0,26
27,129434000.0,27
28,138478000.0,28
29,144343000.0,29
30,144507000.0,30
31,150077000.0,31
32,151028000.0,32
33,154632000.0,33
34,154829000.0,34
35,158761000.0,35
36,164954000.0,36
37,168854000.0,37
38,176587000.0,38
39,183304000.0,39
40,192053000.0,40
41,196772000.0,41
42,209289000.0,42
43,210436000.0,43
44,213516000.0,44
45,220660000.0,45
46,229671000.0,46
47,260571000.0,47
48,262144000.0,47
