,Evaluation,Solution_Count
0,0.0,0
1,85983200.0,1
2,86245400.0,2
3,116130000.0,3
4,118751000.0,4
5,124256000.0,5
6,125305000.0,6
7,135266000.0,7
8,136577000.0,8
9,137888000.0,9
10,142606000.0,10
11,146801000.0,11
12,148111000.0,12
13,154927000.0,13
14,163578000.0,14
15,164889000.0,15
16,166199000.0,16
17,172491000.0,17
18,176947000.0,18
19,180879000.0,19
20,183239000.0,20
21,196346000.0,21
22,197132000.0,22
23,199492000.0,23
24,217317000.0,24
25,218628000.0,25
26,219677000.0,26
27,220201000.0,27
28,223347000.0,28
29,223871000.0,29
30,232260000.0,30
31,236192000.0,31
32,241959000.0,32
33,247988000.0,33
34,248250000.0,34
35,248775000.0,35
36,250610000.0,36
37,252445000.0,37
38,253755000.0,38
39,256377000.0,39
40,260833000.0,40
41,260833000.0,41
42,262144000.0,42
43,262144000.0,42
