,Evaluation,Solution_Count
0,0.0,0
1,67895300.0,1
2,93585400.0,2
3,109052000.0,3
4,124518000.0,4
5,139461000.0,5
6,142344000.0,6
7,143393000.0,7
8,148111000.0,8
9,155189000.0,9
10,156238000.0,10
11,157549000.0,11
12,164364000.0,12
13,175112000.0,13
14,187433000.0,14
15,195822000.0,15
16,199754000.0,16
17,205259000.0,17
18,210502000.0,18
19,219677000.0,19
20,230425000.0,20
21,231473000.0,21
22,236454000.0,22
23,247988000.0,23
24,256377000.0,24
25,257163000.0,25
26,261358000.0,26
27,262144000.0,27
28,262144000.0,28
29,262144000.0,28
