,Evaluation,Solution_Count
0,0.0,0
1,41943000.0,1
2,47448100.0,2
3,49807400.0,3
4,94634000.0,4
5,106430000.0,5
6,112198000.0,6
7,127664000.0,7
8,134742000.0,8
9,139461000.0,9
10,165151000.0,10
11,180617000.0,11
12,182977000.0,12
13,183501000.0,13
14,191365000.0,14
15,191889000.0,15
16,203948000.0,16
17,212599000.0,17
18,218628000.0,18
19,244056000.0,19
20,244318000.0,20
21,245891000.0,21
22,246153000.0,22
23,249037000.0,23
24,249299000.0,24
25,258212000.0,25
26,259523000.0,26
27,260571000.0,27
28,260833000.0,28
29,261620000.0,29
30,262144000.0,29
