,Evaluation,Solution_Count
0,0.0,0
1,1576960.0,1
2,3022850.0,2
3,3211260.0,3
4,5201920.0,4
5,6123520.0,5
6,6496260.0,6
7,6537220.0,7
8,6643710.0,8
9,6696960.0,9
10,6893570.0,10
11,7737340.0,11
12,8212480.0,12
13,8396800.0,13
14,8654850.0,14
15,10113000.0,15
16,11333600.0,16
17,13381600.0,17
18,13516800.0,18
19,13762600.0,19
20,13865000.0,20
21,14049300.0,21
22,17870800.0,22
23,33673200.0,23
24,38518800.0,24
25,39088100.0,25
26,42221600.0,26
27,43147300.0,27
28,43733000.0,28
29,54640600.0,29
30,77140000.0,30
31,85737500.0,31
32,91328500.0,32
33,92106800.0,33
34,94404600.0,34
35,95666200.0,35
36,96108500.0,36
37,100303000.0,37
38,102121000.0,38
39,128729000.0,39
40,157094000.0,40
41,163107000.0,41
42,187068000.0,42
43,196899000.0,43
44,197517000.0,44
45,217612000.0,45
46,226009000.0,46
47,262144000.0,46
