,Evaluation,Solution_Count
0,0.0,0
1,1114110.0,1
2,1323010.0,2
3,1933310.0,3
4,3567620.0,4
5,5021700.0,5
6,5980160.0,6
7,6606850.0,7
8,6832130.0,8
9,9035780.0,9
10,9097220.0,10
11,9773060.0,11
12,11092000.0,12
13,11980800.0,13
14,13746200.0,14
15,13832200.0,15
16,14651400.0,16
17,24584200.0,17
18,27017200.0,18
19,40050700.0,19
20,50909200.0,20
21,51327000.0,21
22,59420700.0,22
23,63893500.0,23
24,78434300.0,24
25,83570700.0,25
26,84811800.0,26
27,148312000.0,27
28,161686000.0,28
29,236175000.0,29
30,262144000.0,29
