,Evaluation,Solution_Count
0,0.0,0
1,70516700.0,1
2,79429600.0,2
3,85983200.0,3
4,88080400.0,4
5,89129000.0,5
6,104333000.0,6
7,104858000.0,7
8,112722000.0,8
9,115868000.0,9
10,117965000.0,10
11,120062000.0,11
12,132645000.0,12
13,133956000.0,13
14,137626000.0,14
15,140509000.0,15
16,142868000.0,16
17,144179000.0,17
18,151519000.0,18
19,165151000.0,19
20,175636000.0,20
21,182714000.0,21
22,183501000.0,22
23,194773000.0,23
24,197657000.0,24
25,201327000.0,25
26,203424000.0,26
27,205783000.0,27
28,219415000.0,28
29,223609000.0,29
30,226492000.0,30
31,231211000.0,31
32,233308000.0,32
33,240124000.0,33
34,241959000.0,34
35,242483000.0,35
36,249561000.0,36
37,250348000.0,37
38,251134000.0,38
39,251134000.0,39
40,252707000.0,40
41,259523000.0,41
42,262144000.0,41
