,Evaluation,Solution_Count
0,0.0,0
1,46661600.0,1
2,54788100.0,2
3,66846700.0,3
4,72876000.0,4
5,91488300.0,5
6,93585400.0,6
7,103023000.0,7
8,105906000.0,8
9,117178000.0,9
10,121111000.0,10
11,140509000.0,11
12,159121000.0,12
13,163054000.0,13
14,163840000.0,14
15,168559000.0,15
16,168559000.0,16
17,185860000.0,17
18,187171000.0,18
19,196084000.0,19
20,196608000.0,20
21,202113000.0,21
22,207094000.0,22
23,207880000.0,23
24,212861000.0,24
25,219939000.0,25
26,223085000.0,26
27,227017000.0,27
28,227541000.0,28
29,230949000.0,29
30,235405000.0,30
31,240386000.0,31
32,241697000.0,32
33,242745000.0,33
34,246940000.0,34
35,254804000.0,35
36,255590000.0,36
37,255853000.0,37
38,256639000.0,38
39,260571000.0,39
40,261358000.0,40
41,262144000.0,40
