,Evaluation,Solution_Count
0,0.0,0
1,26476500.0,1
2,30408700.0,2
3,42729500.0,3
4,48758800.0,4
5,63963100.0,5
6,70254600.0,6
7,72876000.0,7
8,73138200.0,8
9,77856800.0,9
10,89653200.0,10
11,108003000.0,11
12,113770000.0,12
13,119276000.0,13
14,128975000.0,14
15,152044000.0,15
16,155451000.0,16
17,164889000.0,17
18,168034000.0,18
19,169345000.0,19
20,172491000.0,20
21,172491000.0,21
22,194511000.0,22
23,201589000.0,23
24,202375000.0,24
25,211288000.0,25
26,214696000.0,26
27,215220000.0,27
28,221774000.0,28
29,228590000.0,29
30,230162000.0,30
31,231997000.0,31
32,239337000.0,32
33,243532000.0,33
34,248513000.0,34
35,250348000.0,35
36,254018000.0,36
37,255066000.0,37
38,262144000.0,37
