,problem,selection,count
0,smallest,Prog-Only Cohort,44
1,smallest,Cohort-Lexicase,45
2,smallest,Truncated,43
3,smallest,Down Sample,48
4,smallest,Lexicase,43
5,small-or-large,Truncated,18
6,small-or-large,Prog-Only Cohort,14
7,small-or-large,Cohort-Lexicase,24
8,small-or-large,Down Sample,10
9,small-or-large,Lexicase,15
10,median,Cohort-Lexicase,40
11,median,Prog-Only Cohort,45
12,median,Truncated,39
13,median,Down Sample,43
14,median,Lexicase,41
