,problem,dims,count
0,compare-string-lengths,cn128_cs4,0
1,compare-string-lengths,cn16_cs32,41
2,compare-string-lengths,cn1_cs512,5
3,compare-string-lengths,cn256_cs2,0
4,compare-string-lengths,cn2_cs256,19
5,compare-string-lengths,cn32_cs16,28
6,compare-string-lengths,cn4_cs128,29
7,compare-string-lengths,cn64_cs8,0
8,compare-string-lengths,cn8_cs64,40
9,for-loop-index,cn128_cs4,31
10,for-loop-index,cn16_cs32,21
11,for-loop-index,cn1_cs512,0
12,for-loop-index,cn256_cs2,30
13,for-loop-index,cn2_cs256,8
14,for-loop-index,cn32_cs16,25
15,for-loop-index,cn4_cs128,8
16,for-loop-index,cn64_cs8,22
17,for-loop-index,cn8_cs64,21
18,median,cn128_cs4,0
19,median,cn16_cs32,36
20,median,cn1_cs512,1
21,median,cn256_cs2,0
22,median,cn2_cs256,19
23,median,cn32_cs16,32
24,median,cn4_cs128,30
25,median,cn64_cs8,19
26,median,cn8_cs64,34
27,small-or-large,cn128_cs4,0
28,small-or-large,cn16_cs32,2
29,small-or-large,cn1_cs512,0
30,small-or-large,cn256_cs2,0
31,small-or-large,cn2_cs256,1
32,small-or-large,cn32_cs16,0
33,small-or-large,cn4_cs128,0
34,small-or-large,cn64_cs8,0
35,small-or-large,cn8_cs64,1
36,smallest,cn128_cs4,23
37,smallest,cn16_cs32,40
38,smallest,cn1_cs512,0
39,smallest,cn256_cs2,0
40,smallest,cn2_cs256,16
41,smallest,cn32_cs16,44
42,smallest,cn4_cs128,33
43,smallest,cn64_cs8,38
44,smallest,cn8_cs64,33
