,problem,selection,count
0,median,Cohort-Lexicase,0
1,median,Down Sample,0
2,median,Prog-Only Cohort,0
3,median,Truncated,11
4,median,Lexicase,33
5,small-or-large,Cohort-Lexicase,0
6,small-or-large,Down Sample,0
7,small-or-large,Prog-Only Cohort,0
8,small-or-large,Truncated,0
9,small-or-large,Lexicase,6
10,smallest,Cohort-Lexicase,0
11,smallest,Down Sample,0
12,smallest,Prog-Only Cohort,6
13,smallest,Truncated,6
14,smallest,Lexicase,36
