,problem,dims,count
0,small-or-large,CN128_CS4,0
1,small-or-large,CN16_CS32,10
2,small-or-large,CN1_CS512,6
3,small-or-large,CN256_CS2,0
4,small-or-large,CN2_CS256,9
5,small-or-large,CN32_CS16,0
6,small-or-large,CN4_CS128,15
7,small-or-large,CN64_CS8,0
8,small-or-large,CN8_CS64,16
