,problem,selection,count
0,median,Cohort-Lexicase,30
1,median,Down Sample,28
2,median,Prog-Only Cohort,24
3,median,Truncated,38
4,median,Lexicase,33
5,small-or-large,Cohort-Lexicase,0
6,small-or-large,Down Sample,0
7,small-or-large,Prog-Only Cohort,8
8,small-or-large,Truncated,2
9,small-or-large,Lexicase,6
10,smallest,Cohort-Lexicase,26
11,smallest,Down Sample,31
12,smallest,Prog-Only Cohort,30
13,smallest,Truncated,39
14,smallest,Lexicase,36
