,problem,selection,count
0,median,Cohort-Lexicase,41
1,median,Down Sample,26
2,median,Prog-Only Cohort,17
3,median,Truncated,35
4,median,Lexicase,33
5,small-or-large,Cohort-Lexicase,0
6,small-or-large,Down Sample,0
7,small-or-large,Prog-Only Cohort,1
8,small-or-large,Truncated,3
9,small-or-large,Lexicase,6
10,smallest,Cohort-Lexicase,46
11,smallest,Down Sample,23
12,smallest,Prog-Only Cohort,24
13,smallest,Truncated,38
14,smallest,Lexicase,36
